organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,licence,info,url
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:08:43.645576,2015-04-26T23:08:43.645576,Historical orthophoto map series—Queensland,2500 series 1977–1996—Queensland,,,"A list of 1305 orthophoto maps covering parts of Queensland. They show relief overlaying a rectified aerial photograph. Published in black and white, the sheet format is 56.25"" of latitude by 56.25"" of longitude.  There is a key map for this series. Contour intervals are 1 metre.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0009/264996/2500-queensland-series-1977-1996.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:10:07.040071,2015-04-26T23:10:07.040071,Historical orthophoto map series—Queensland,2500 series 1985—Fraser coast,,,"An orthophoto map covering Burrum Heads on the Fraser coast.  Published in colour, it shows relief overlaying a rectified aerial photograph.  Contour intervals are 1 metre.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0004/264991/2500-fraser-coast-series-1985.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:21:08.341100,2015-04-26T23:21:08.341100,Historical orthophoto map series—Queensland,25000 series 1978–1987—Queensland,,,"A list of 74 orthophoto maps covering parts of Queensland. They show relief overlaying a rectified aerial photograph. Published in colour, the sheet format is 7' 30"" of latitude by 7' 30"" of longitude. There is a key map for this series. Contour intervals are 10 metres with selected 5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0019/265060/25000-queensland-series-1978-1987.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:19:58.418201,2015-04-26T23:19:58.418201,Historical orthophoto map series—Queensland,25000 series 1986–1987—Darling Downs,,,"A list of 4 orthophoto maps covering parts of the Darling Downs. They show relief overlaying a rectified aerial photograph. Published in black and white, the sheet format is 7' 30"" of latitude by 7' 30"" of longitude. There is a key map for this series. Contour intervals are 10 metres with selected 5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0005/265055/25000-darling-downs-series-1986-1987.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:06:04.611961,2015-04-26T23:06:04.611961,Historical orthophoto map series—Queensland,500 series 1981—north Queensland,,,"An orthophoto map covering Darnley Island in north Queensland.  Published in black and white, it shows relief overlaying a rectified aerial photograph.  Contour intervals are 0.5 metres.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0011/264989/500-north-queensland-series-1981.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:11:27.855012,2015-04-26T23:11:27.855012,Historical orthophoto map series—Queensland,5000 series 1980–1991—Queensland,,,"A list of 347 orthophoto maps covering parts of Queensland. They show relief overlaying a rectified aerial photograph. Published in black and white, the sheet format is 1' 52.5"" of latitude by 1'52.5"" of longitude.  There is a key map for this series. Contour intervals are between 1 metre and 10 metres depending on the slope.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/baf18c57-0b4a-4d8d-bb83-39f8a5d25a0d,https://www.dnrm.qld.gov.au/__data/assets/file/0013/265000/5000-queensland-series-1980-1991.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:51:41.208545,2015-04-26T23:51:41.208545,Historical topographic map series—Queensland,1 mile military series 1925–1964—Queensland,,,"A list of 207 topographic maps at a scale of 1 mile to an inch (1:63360) covering parts of Queensland. Published in colour and black and white, they show graphic representations of features including relief, hydrography, vegetation, and cultural. There is a key map for this series. Contour intervals where included, are 50 feet (15.24 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5/resource/b3df7b1a-7de8-4466-aa2c-87220c7baf97/download/1-mile-military-series-19251964queensland.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:43:39.498833,2015-04-26T23:43:39.498833,Historical topographic map series—Queensland,10000 9442 series 1976–1979—Ipswich,,,"A list of 60 topographic maps covering 1:100000 9442 Ipswich area. They show graphic representations of features including relief, hydrography, vegetation, and cultural.  Published in colour, the sheet format is 3' 00"" of latitude by 5' 00"" of longitude. A complete set is available. Contour intervals are 5 metres.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0004/264982/10000-ipswich-9442-series-1976-1979.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:49:35.900152,2015-04-26T23:49:35.900152,Historical topographic map series—Queensland,100000 series 1982–1985—south east Queensland,,,"A list of 2 topographic maps covering parts of south east Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural. Published in colour, the sheet format is 30' 00"" of latitude by 31' 00"" of longitude for one sheet and 34' 00"" for second sheet. Contour intervals are 20 metres.  ",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0009/264987/100000-se-queensland-series-1982-1985.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:52:47.424516,2015-04-26T23:52:47.424516,Historical topographic map series—Queensland,2 mile military series 1932—south east Queensland,,,"A topographic map at a scale of 2 miles to an inch 1:126720 covering parts of south east Queensland. Published in colour, they show graphic representations of features including relief, hydrography, vegetation, and cultural. Contour intervals are 50 feet (15.24 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0008/264959/2mile-se-queensland-military-series-1932.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:42:30.299770,2015-04-26T23:42:30.299770,Historical topographic map series—Queensland,20 chain series 1886–1889—Brisbane,,,"A list of 2 topographic maps at a scale of 20 chains to an inch (1:15840) covering the mouth of the Brisbane river. Published in colour, they  show graphic representations of features including relief, hydrography, vegetation, and cultural.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0009/264978/20chain-brisbane-series-1886-1889.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2016-06-16T06:06:42.523572,2016-06-16T06:06:42.523572,Historical topographic map series—Queensland,25000 image series 1993–2003—Queensland,,,"A list of 362 topographic maps covering parts of Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural overlaying an ortho-rectified colour image.  Published in colour, the sheet format is 7' 30"" of latitude by 7' 30"" of longitude. Contour intervals are 5 metres with selected 2.5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0003/374916/25000-queensland-image-series-1993-2003.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:45:14.182308,2015-04-26T23:45:14.182308,Historical topographic map series—Queensland,25000 imperial series 1970–1975—Queensland,,,"A list of 24 topographic maps covering  parts of Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural.  Published in colour, the sheet format is 7' 30"" of latitude by 15' 00"" of longitude.  Contour intervals are 25 feet (97.62 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0005/264983/25000-queensland-imperial-series-1970-1975.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2016-06-16T06:04:01.687789,2016-06-16T06:04:01.687789,Historical topographic map series—Queensland,25000 series 1965-2012—Queensland,,,"A list of 709 topographic maps covering parts of Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural.  Published in colour, the sheet format is 7' 30"" of latitude by 7' 30"" of longitude for the majority of sheets. Contour intervals for the majority of sheets are 5 metres with selected 2.5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0003/374934/25000-queensland-series-1965-2012.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:46:28.886467,2015-04-26T23:46:28.886467,Historical topographic map series—Queensland,25000 series 1982–1990—Queensland,,,"A list of 36 topographic maps covering parts of Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural.  Published in black and white, the sheet format is 7' 30"" of latitude by 7' 30"" of longitude. Contour intervals are 5 metres with selected 2.5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0006/264984/25000-queensland-series-1982-1990.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:48:10.772134,2015-04-26T23:48:10.772134,Historical topographic map series—Queensland,31680 series 1962–1969—Queensland,,,"A list of 21 topographic maps covering parts of Queensland. They show graphic representations of features including relief, hydrography, vegetation, and cultural.  Published in colour, the sheet format is 7' 30"" of latitude by 15' 00"" of longitude. There is a key map for this series. Contour intervals are 25 feet (97.62 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0008/264986/31680-queensland-series-1962-1969.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:53:53.322562,2015-04-26T23:53:53.322562,Historical topographic map series—Queensland,4 mile military series 1942–1964—Queensland,,,"A list of 123 topographic maps at a scale of 4 miles to an inch (1:253440) covering parts of Queensland. Published in colour and black and white, they show graphic representations of features including relief, hydrography, vegetation, and cultural. There is a key map for this series. Contour intervals where included, are 250 feet (76.2 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5/resource/140f5e8d-95b3-4698-a53f-33789e229bac/download/4mile-queensland-military-series-1942-1964.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2016-06-16T06:05:33.998065,2016-06-16T06:05:33.998065,Historical topographic map series—Queensland,50000 series 2011—Bundaberg,,,"A topographic map covering the Lake Monduran area near Bundaberg. Published in colour, it shows graphic representations of features including relief, hydrography, vegetation, and cultural. Contour intervals are 10 metres with selected 5 metre auxiliary contours.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0008/374939/50000-bundaberg-series-2011.csv
"Natural Resources, Mines and Energy",opendata@dnrm.qld.gov.au,2015-04-26T23:40:52.804619,2015-04-26T23:40:52.804619,Historical topographic map series—Queensland,6 chain series 1909–1910—Gympie,,,"A list of 18 topographic maps at a scale of 6 chains to an inch (1:4752) covering Gympie and its surrounding areas. Published in colour, they show graphic representations of features including relief, hydrography, vegetation, mining, and cultural. There is a key map and legend on each map sheet. A  complete set is available. Contour intervals are 10 feet (3.048 metres).",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b7e2c2b-91b1-49b0-9e58-2faed8bc7bd5,https://www.dnrm.qld.gov.au/__data/assets/file/0008/264977/6chain-gympie-series-1909-1910.csv
South Australian Governments,Adelaide City Council,2015-06-04T13:35:02.691397,2015-06-04T13:35:02.691397,"Adelaide Key Historical Events, 1836-2005",Adelaide Key Historical Events,,,Provides key dates in the history of Adelaide from 1836 to 2005.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/c737c490-e962-4740-aced-76705386bfa2,http://opendata.adelaidecitycouncil.com/Adelaide_Key_Historical_Events/Adelaide_Key_Historical_Events.csv
South Australian Governments,Adelaide City Council,2013-05-09T00:37:01.553809,2013-05-09T00:37:01.553809,Historic Photos of Adelaide,Historic photos of adelaide metadata.csv,,,"Historic photographs of Adelaide including buildings, parklands, statues and other significant structures and sites, former Lord Mayors of Adelaide and other significant persons of interest.

Information provided includes record number, image link, title, description, date created, date closed, date accuracy, town acre, format, copyright notes, provenance, series.
",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/2f8d50dd-da9f-4c71-b278-8d787c1114fd,http://data.sa.gov.au/data/storage/f/2014-06-05T07%3A05%3A37.744Z/historic-photos-of-adelaide-metadata.csv
South Australian Governments,City of Playford,2015-06-30T00:45:37.085332,2015-06-30T00:45:37.085332,Playford WWI service record,playford-wwi-service-record,,,City of Playford WWI service record,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/dd448c4c-c54d-4362-9450-bd0af4b03419,https://data.sa.gov.au/data/dataset/dd448c4c-c54d-4362-9450-bd0af4b03419/resource/09295c22-ea5f-44a2-9719-2077ddec16a1/download/playfordwwi.csv
South Australian Governments,Consumer and Business Services,2015-05-13T10:14:27.741101,2015-05-13T10:14:27.741101,Popular Baby Names,Baby Names 2014 - Female,,,Female baby names registered in 2014,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/c11d4aff-fcb5-48a9-aa19-8e04bb8b716e/download/femalecy2014top.csv
South Australian Governments,Consumer and Business Services,2015-05-13T10:15:35.536833,2015-05-13T10:15:35.536833,Popular Baby Names,Baby Names 2014 - Male,,,Male baby names registered in 2014,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/85f2d731-74bd-43fe-8895-f5f65e356c42/download/malecy2014top.csv
South Australian Governments,Consumer and Business Services,2016-02-15T15:22:35.182526,2016-02-15T15:22:35.182526,Popular Baby Names,Baby Names 2015 - Female,,,Girls baby names registered in 2015.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/90e682d9-3c82-4265-a5eb-87fa5a034375/download/femalecy2015top.csv
South Australian Governments,Consumer and Business Services,2016-02-15T15:15:31.694141,2016-02-15T15:15:31.694141,Popular Baby Names,Baby Names 2015 - Males,,,Boy names registered in 2015.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/954188d0-e5a9-469f-9356-ac340bd4eeff/download/malecy2015top.csv
South Australian Governments,Consumer and Business Services,2017-02-06T14:45:04.305086,2017-02-06T14:45:04.305086,Popular Baby Names,Baby Names 2016 - Female,,,Female baby names registered in South Australia for 2016.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/5e58668a-8150-4c0a-b17e-d55636a318be/download/femalecy2016top.csv
South Australian Governments,Consumer and Business Services,2017-02-06T14:44:23.219878,2017-02-06T14:44:23.219878,Popular Baby Names,Baby Names 2016 - Male,,,Male baby names registered in South Australia during 2016.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/138f3cf7-edd6-4af2-85c6-2639dbbf04ae/download/malecy2016top.csv
South Australian Governments,Consumer and Business Services,2018-02-06T11:12:05.256917,2018-02-06T11:12:05.256917,Popular Baby Names,Baby Names 2017 - Female,,,Female baby names registered in South Australia during 2017.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/8a1895d3-d5e1-425d-b89e-f394537763cc/download/cusersjacksm01desktopfemalecy2017top.csv
South Australian Governments,Consumer and Business Services,2018-02-06T11:13:22.853402,2018-02-06T11:13:22.853402,Popular Baby Names,Baby Names 2017 - Male,,,Male baby names registered in South Australia during 2017.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/920f9134-c32e-48b2-aaae-278dfb0a8ff4/download/cusersjacksm01desktopmalecy2017top.csv
South Australian Governments,Consumer and Business Services,2017-03-22T17:25:23.986342,2017-03-22T17:25:23.986342,Popular Baby Names,Baby Names Female - 2016 amended,,,Baby Names Female - 2016,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/c9777b10-b1d4-48ce-ab6c-286c1e0da525/download/femalecy2016top.csv
South Australian Governments,Consumer and Business Services,2017-03-22T17:26:06.329704,2017-03-22T17:26:06.329704,Popular Baby Names,Baby Names Male - 2016 amended,,,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,https://data.sa.gov.au/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6/resource/935e77ff-0609-46d7-8503-73e938194a8b/download/malecy2016top.csv
State Archives NSW,State Records Authority,2015-10-01T11:59:46.136381,2015-10-01T11:59:46.136381,Convict Indexes,"Index to Certificates of Freedom, 1823-69",,,"This dataset contains the following attributes: 
ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-certificates-of-freedom).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/07fb0a86-e7d6-4023-9033-c6ec50b077d5/download/Certificates-of-Freedom-1823-69.csv
State Archives NSW,State Records Authority,2015-10-01T12:05:30.634761,2015-10-01T12:05:30.634761,Convict Indexes,"Index to Tickets of Exemption from Government Labour, 1827-32",,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/tickets-of-exemption-from-government-labour).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/bd235c5d-0690-441f-ad62-a5fa4eaa3761/download/Tickets-of-Exemption-From-Govt-Labor-1827-32.csv
State Archives NSW,State Records Authority,2015-10-01T12:14:59.685832,2015-10-01T12:14:59.685832,Convict Indexes,"Index to Tickets of Leave Passports, 1835-69",,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-ticket-of-leave-passports).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/128a859e-120f-43e2-8f9f-9aadc05b8745/download/Tickets-of-Leave-Passports-1835-69.csv
State Archives NSW,State Records Authority,2015-10-01T12:11:25.660171,2015-10-01T12:11:25.660171,Convict Indexes,"Index to Tickets of Leave, 1810-75",,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-tickets-of-leave).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/386608d7-a103-4440-adb7-adae2f8928db/download/Tickets-of-Leave-1810-75.csv
State Archives NSW,State Records Authority,2015-10-01T12:13:36.362074,2015-10-01T12:13:36.362074,Convict Indexes,"Index to Tickets of Leave, Certificates of Emancipation, and Pardons, 1810-19",,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-tickets-of-leave-certificates-and-pardons).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/82b8128f-b0cf-44ef-b6c5-f4762688b000/download/Tickets-of-Leave-Certificates-of-Emancipation-Pardons-1810-19.csv
State Archives NSW,State Records Authority,2015-10-01T11:57:07.654001,2015-10-01T11:57:07.654001,Convict Indexes,Index to convict bank accounts 1837-70,,,"This dataset contains the following attributes: 
ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-convict-bank-accounts).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/4cbdcbe0-e51f-41a1-ae44-25a16c2e06bc/download/Bank-Accounts-1837-70.csv
State Archives NSW,State Records Authority,2015-10-01T12:02:20.325069,2015-10-01T12:02:20.325069,Convict Indexes,"Index to convict pardons, 1791-1825 and 1837-47",,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-convict-pardons).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/c3d46577-7ede-4ed0-96cb-9877af4727a2/download/Pardons-1791-1825-and-1837-47.csv
State Archives NSW,State Records Authority,2014-09-30T00:55:53.313012,2014-09-30T00:55:53.313012,"Deceased Estate Files, 1880-1923",Deceased Estates,,,"This dataset contains the following attributes: Surname, First Name, Locality, Date Of Death, Date Duty Paid, Item, Reel, Remarks, ID",Creative Commons Attribution,https://data.nsw.gov.au/dataset/5d45437c-d07a-4977-95ab-e53fb86f02c1,https://data.nsw.gov.au/data/dataset/5d45437c-d07a-4977-95ab-e53fb86f02c1/resource/7ea09383-b884-4458-885a-6fab1fc4c209/download/deceased-estates.csv
State Archives NSW,,2014-09-30T00:46:33.977932,2014-09-30T00:46:33.977932,"NSW Government Railways and Tramways Roll of Honour, 1914-1919",NSW Govt Railways and Tramways - Roll of Honour - 1914-1919.csv,,,"This dataset contains the following attributes: Surname, First Name, Branch, Military Unit, Page No, ID",Creative Commons Attribution,https://data.nsw.gov.au/dataset/33809e06-5e9e-49e6-a922-b345afc0b4ca,http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A45%3A19.871Z/nsw-govt-railways-and-tramways-roll-of-honour-1914-1919.csv
State Archives NSW,,2014-09-30T00:51:03.642506,2014-09-30T00:51:03.642506,"Nominal Roll of the First Railway Section (AIF), 1917-20",Nominal Roll of the First Railway Section (AIF).csv,,,"This dataset contains the following attributes: Surname, Other Names, Age, Address, Date of Joining, Series, Reel, Page, ID",Creative Commons Attribution,https://data.nsw.gov.au/dataset/7e8b1833-4edc-483f-b38c-816e87a60149,http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A50%3A17.994Z/nominal-roll-of-the-first-railway-section-aif.csv
State Archives NSW,State Records Authority,2014-09-30T00:36:18.152909,2014-09-30T00:36:18.152909,Railway Employment Records,Railway Employment Records,,,"This dataset contains the following attributes:
Surname, First Name, First Position Listed, Date of First Position Listed, Page, Item, Remarks, ID",Creative Commons Attribution,https://data.nsw.gov.au/dataset/1f776129-6d97-4225-afc0-b9fc1833f815,http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A35%3A07.812Z/railway-employment-records.csv
State Archives NSW,State Records Authority,2013-05-28T01:08:57.757219,2013-05-28T01:08:57.757219,Soldier Settlement Indexes,"Closer Settlement Promotion files, 1913-",,,"For a description of this data, see: [Closer Settlement Promotion files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-closer-settlement-promotion-files).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/78d82f3e-7776-4fb0-a5aa-4cdf1f9754cb/download/Index-to-Closer-Settlement-Promotion.csv
State Archives NSW,State Records Authority,2013-05-28T01:09:42.446601,2013-05-28T01:09:42.446601,Soldier Settlement Indexes,"Closer Settlement Transfer Registers, Jul 1919 - Apr 1925",,,"For a description of this data, see this page: [Closer Settlement Transfer Registers](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-closer-settlement-transfer-registers).",Creative Commons Attribution,https://data.nsw.gov.au/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/cec55aee-f978-4c8c-a843-d628ff7c3c82/download/Closer-Settlement-Transfer-Registers-NRS-8082.csv
State Archives NSW,State Records Authority,2013-05-28T01:10:39.394959,2013-05-28T01:10:39.394959,Soldier Settlement Indexes,"Closer Settlement and Returned Soldier’s Transfer files, 1907-36, 1951",,,"For a description of this data, see this page: [Closer Settlement and Returned Soldier’s Transfer files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-returned-soldiers-transfer-files)",Creative Commons Attribution,https://data.nsw.gov.au/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/233f1be2-8b7d-45af-b8a7-5627f624ec48/download/Closer-and-Soldier-Settlement-Transfer-Files.csv
